,Number_topics,Alpha,Beta,Num,UMASS,NPMI
0,5,0.01,0.2,1,-1.1846159523320385,0.008341043210524401
1,5,0.1,0.2,1,-1.2221940332537249,0.009264569358659314
2,5,1.0,0.2,1,-1.2182960956814068,0.009264569358659314
3,5,10.0,0.2,1,-1.1894625712829712,0.00947401520172083
4,5,0.01,2.0,10,-1.1609346257001734,0.01062412836109397
5,5,0.1,2.0,10,-1.1636353164579392,0.01062412836109397
6,5,1.0,2.0,10,-1.161918394589933,0.01062412836109397
7,5,10.0,2.0,10,-1.1635791018560522,0.01062412836109397
8,5,0.01,4.0,20,-1.1074724818627781,0.017792534629245474
9,5,0.1,4.0,20,-1.1074724818627781,0.017792534629245474
10,5,1.0,4.0,20,-1.1143228813679849,0.017792534629245477
11,5,10.0,4.0,20,-1.113880087060456,0.017792534629245477
12,6,0.01,0.16666666666666666,1,-1.2282940571974852,0.021047539482984615
13,6,0.1,0.16666666666666666,1,-1.2282940571974852,0.021047539482984615
14,6,1.0,0.16666666666666666,1,-1.2285361630890284,0.021047539482984615
15,6,10.0,0.16666666666666666,1,-1.2313050163330543,0.021047539482984615
16,6,0.01,1.6666666666666667,10,-1.262915641319081,0.025651736823210935
17,6,0.1,1.6666666666666667,10,-1.2657162580133015,0.025651736823210935
18,6,1.0,1.6666666666666667,10,-1.2649316788303775,0.025651736823210935
19,6,10.0,1.6666666666666667,10,-1.243486927337054,0.024675366471129317
20,6,0.01,3.3333333333333335,20,-1.4181988657642812,0.03414531658936095
21,6,0.1,3.3333333333333335,20,-1.4085781733863474,0.03368641936499883
22,6,1.0,3.3333333333333335,20,-1.4213973142670515,0.03254700392187302
23,6,10.0,3.3333333333333335,20,-1.3919238081187828,0.032314994854243245
24,7,0.01,0.14285714285714285,1,-1.2274632305590338,0.011683728944451414
25,7,0.1,0.14285714285714285,1,-1.230857511277605,0.011683728944451414
26,7,1.0,0.14285714285714285,1,-1.2066844409880442,0.010707478512376621
27,7,10.0,0.14285714285714285,1,-1.2685467390383305,0.01125032930819339
28,7,0.01,1.4285714285714286,10,-1.2487297119828484,0.016374443069761973
29,7,0.1,1.4285714285714286,10,-1.2487297119828484,0.016374443069761973
30,7,1.0,1.4285714285714286,10,-1.2432622277284087,0.01734664332201979
31,7,10.0,1.4285714285714286,10,-1.2449443630223662,0.015383980761988837
32,7,0.01,2.857142857142857,20,-1.224059151636671,0.023759108366769692
33,7,0.1,2.857142857142857,20,-1.2194588852712605,0.023759108366769692
34,7,1.0,2.857142857142857,20,-1.2444360787523252,0.02353446781240855
35,7,10.0,2.857142857142857,20,-1.196044774036729,0.022152346277131026
36,8,0.01,0.125,1,-1.3180562569648573,0.026412206203074676
37,8,0.1,0.125,1,-1.3180562569648573,0.026412206203074676
38,8,1.0,0.125,1,-1.298948465334576,0.02545068897319837
39,8,10.0,0.125,1,-1.3246501102391188,0.025193702457481933
40,8,0.01,1.25,10,-1.278378105062501,0.02451236340709354
41,8,0.1,1.25,10,-1.2819870818323735,0.024512363407093538
42,8,1.0,1.25,10,-1.2610920868917592,0.024216725656340643
43,8,10.0,1.25,10,-1.3557081012725343,0.029471411599782612
44,8,0.01,2.5,20,-1.3202774606920784,0.036038535443705166
45,8,0.1,2.5,20,-1.3198288847038744,0.036038535443705166
46,8,1.0,2.5,20,-1.355844483694577,0.03243977683807676
47,8,10.0,2.5,20,-1.3474964628410975,0.03292842284440861
48,9,0.01,0.1111111111111111,1,-1.3196101867635108,0.023018220775046998
49,9,0.1,0.1111111111111111,1,-1.3120851396175692,0.022122783836122498
50,9,1.0,0.1111111111111111,1,-1.3087080986784436,0.024750183907553118
51,9,10.0,0.1111111111111111,1,-1.3505979851418384,0.02563549265999612
52,9,0.01,1.1111111111111112,10,-1.3009871423355488,0.02780430823691497
53,9,0.1,1.1111111111111112,10,-1.287988268776042,0.02789798176999927
54,9,1.0,1.1111111111111112,10,-1.2622545881885954,0.02669759672353786
55,9,10.0,1.1111111111111112,10,-1.2825082528491438,0.028041881962572512
56,9,0.01,2.2222222222222223,20,-1.3059154275265548,0.029566034279936995
57,9,0.1,2.2222222222222223,20,-1.3094072298991923,0.030240427580426457
58,9,1.0,2.2222222222222223,20,-1.2978812478581039,0.029445777626970357
59,9,10.0,2.2222222222222223,20,-1.3028616999039275,0.030267923951852807
60,10,0.01,0.1,1,-1.3656327616058719,0.02628350422079968
61,10,0.1,0.1,1,-1.3488083910076532,0.02817040042260293
62,10,1.0,0.1,1,-1.3561203932284913,0.025534174232123553
63,10,10.0,0.1,1,-1.300456856931298,0.02545194492111248
64,10,0.01,1.0,10,-1.321704784626276,0.02821634869424857
65,10,0.1,1.0,10,-1.32803691926138,0.02857273415313378
66,10,1.0,1.0,10,-1.3107558605204916,0.02766460516988085
67,10,10.0,1.0,10,-1.344487647150793,0.02899805195150664
68,10,0.01,2.0,20,-1.4607360106951193,0.034933892928505274
69,10,0.1,2.0,20,-1.463952563276265,0.03512184616634118
70,10,1.0,2.0,20,-1.4405197583921445,0.03476921783039001
71,10,10.0,2.0,20,-1.4406098622466827,0.03481992144135215
72,11,0.01,0.09090909090909091,1,-1.406820694520899,0.02813610587980581
73,11,0.1,0.09090909090909091,1,-1.422510253368829,0.02474101750123917
74,11,1.0,0.09090909090909091,1,-1.3913123530983338,0.027127349060383443
75,11,10.0,0.09090909090909091,1,-1.3957517413162137,0.02834084377970367
76,11,0.01,0.9090909090909091,10,-1.3083467551835566,0.02293603127111549
77,11,0.1,0.9090909090909091,10,-1.325695783869056,0.022747282321165505
78,11,1.0,0.9090909090909091,10,-1.3418954925970639,0.0230042560210495
79,11,10.0,0.9090909090909091,10,-1.407921628105109,0.02544630763580336
80,11,0.01,1.8181818181818181,20,-1.5642765483698247,0.027359207176927736
81,11,0.1,1.8181818181818181,20,-1.569972330168828,0.027657330501634273
82,11,1.0,1.8181818181818181,20,-1.57332883495586,0.026524872030823946
83,11,10.0,1.8181818181818181,20,-1.6008479541218172,0.02783301889231581
84,12,0.01,0.08333333333333333,1,-1.4316523395053127,0.016229837455666047
85,12,0.1,0.08333333333333333,1,-1.4008252918237407,0.017924512607155548
86,12,1.0,0.08333333333333333,1,-1.4084582043339022,0.01480021763697519
87,12,10.0,0.08333333333333333,1,-1.445543811056379,0.013413841347616634
88,12,0.01,0.8333333333333334,10,-1.4491647325669443,0.024562652507691112
89,12,0.1,0.8333333333333334,10,-1.4372624203819016,0.024677600595418295
90,12,1.0,0.8333333333333334,10,-1.3565829304294699,0.02747779935331642
91,12,10.0,0.8333333333333334,10,-1.418831783813926,0.024042661689233344
92,12,0.01,1.6666666666666667,20,-2.1246681314343823,0.018815785404022938
93,12,0.1,1.6666666666666667,20,-2.248965691442349,0.019719331253842617
94,12,1.0,1.6666666666666667,20,-2.199196727816183,0.016001788345087625
95,12,10.0,1.6666666666666667,20,-2.3979396389096594,0.013461483392866498
96,13,0.01,0.07692307692307693,1,-1.3598450138482576,0.02011158707291236
97,13,0.1,0.07692307692307693,1,-1.3416673341602658,0.018804323275333597
98,13,1.0,0.07692307692307693,1,-1.3435416142151184,0.020016327946867713
99,13,10.0,0.07692307692307693,1,-1.3772460746414454,0.02785363844780869
100,13,0.01,0.7692307692307693,10,-1.5129375419549893,0.0311199365799066
101,13,0.1,0.7692307692307693,10,-1.4640013589159115,0.030225023638476987
102,13,1.0,0.7692307692307693,10,-1.4214712518548303,0.03140699654747995
103,13,10.0,0.7692307692307693,10,-1.4311591530740175,0.032724511064397714
104,13,0.01,1.5384615384615385,20,-1.6543410166002583,0.03336336986177219
105,13,0.1,1.5384615384615385,20,-1.6384524054347862,0.027705364464271076
106,13,1.0,1.5384615384615385,20,-3.1007679271324022,-0.008426961111871955
107,13,10.0,1.5384615384615385,20,-2.523264232251201,0.006124867142076506
108,14,0.01,0.07142857142857142,1,-1.3053077902081103,0.02594707082095531
109,14,0.1,0.07142857142857142,1,-1.3048596925024913,0.02454277808667349
110,14,1.0,0.07142857142857142,1,-1.3265061454991807,0.0262957068208362
111,14,10.0,0.07142857142857142,1,-1.304545901537914,0.025663546950620654
112,14,0.01,0.7142857142857143,10,-1.3201779189889467,0.030800817340402326
113,14,0.1,0.7142857142857143,10,-1.3134535933610967,0.03182969792356645
114,14,1.0,0.7142857142857143,10,-1.3728430389278297,0.027242604551809258
115,14,10.0,0.7142857142857143,10,-1.341590208910575,0.03103971952571794
116,14,0.01,1.4285714285714286,20,-1.7911880862452894,0.025333003761540736
117,14,0.1,1.4285714285714286,20,-1.728219497806952,0.027376370410099708
118,14,1.0,1.4285714285714286,20,-1.9421872538143254,0.024162659641737146
119,14,10.0,1.4285714285714286,20,-1.9692425695811033,0.021130266379947398
