,Number_topics,Alpha,Beta,Num,UMASS,NPMI
0,5,0.01,0.2,1,-1.0948818908758144,0.022911467781285833
1,5,0.1,0.2,1,-1.0948818908758144,0.022911467781285833
2,5,1.0,0.2,1,-1.0948818908758144,0.022911467781285833
3,5,10.0,0.2,1,-1.0948818908758144,0.022911467781285833
4,5,0.01,2.0,10,-1.126305222188822,0.0286852547546041
5,5,0.1,2.0,10,-1.126305222188822,0.0286852547546041
6,5,1.0,2.0,10,-1.12631245502322,0.0286852547546041
7,5,10.0,2.0,10,-1.1070274011518906,0.026739169088049408
8,5,0.01,4.0,20,-1.1914630664357522,0.0247961173905915
9,5,0.1,4.0,20,-1.192406274251876,0.0247961173905915
10,5,1.0,4.0,20,-1.1913382667149892,0.0247961173905915
11,5,10.0,4.0,20,-1.1913382667149892,0.0247961173905915
12,6,0.01,0.16666666666666666,1,-0.9941878347253755,0.02847351671630306
13,6,0.1,0.16666666666666666,1,-0.9926061958760783,0.02847351671630306
14,6,1.0,0.16666666666666666,1,-0.995253287510077,0.02847351671630306
15,6,10.0,0.16666666666666666,1,-0.9938679602943155,0.02847351671630306
16,6,0.01,1.6666666666666667,10,-1.5802254833519125,0.024380178033787253
17,6,0.1,1.6666666666666667,10,-1.5851156003558347,0.024380178033787253
18,6,1.0,1.6666666666666667,10,-1.5825846967158779,0.024380178033787253
19,6,10.0,1.6666666666666667,10,-1.5785187605225266,0.024380178033787253
20,6,0.01,3.3333333333333335,20,-1.185273591318604,0.029653687899158506
21,6,0.1,3.3333333333333335,20,-1.1848186263860616,0.029653687899158506
22,6,1.0,3.3333333333333335,20,-1.182555904313391,0.029653687899158506
23,6,10.0,3.3333333333333335,20,-1.1809035747162053,0.029653687899158506
24,7,0.01,0.14285714285714285,1,-1.391449896253136,0.022382858605786888
25,7,0.1,0.14285714285714285,1,-1.3806480749767895,0.02305936795260439
26,7,1.0,0.14285714285714285,1,-1.3815276887153911,0.02305936795260439
27,7,10.0,0.14285714285714285,1,-1.381147705792815,0.023934929870838152
28,7,0.01,1.4285714285714286,10,-1.3431291716242038,0.02878848635550397
29,7,0.1,1.4285714285714286,10,-1.3496740247735624,0.02878848635550397
30,7,1.0,1.4285714285714286,10,-1.3483165188995427,0.02878848635550397
31,7,10.0,1.4285714285714286,10,-1.3393860819815988,0.028297477844990353
32,7,0.01,2.857142857142857,20,-1.872023280263199,0.0161445945340112
33,7,0.1,2.857142857142857,20,-1.8721461556892236,0.0161445945340112
34,7,1.0,2.857142857142857,20,-1.8726942807912823,0.0161445945340112
35,7,10.0,2.857142857142857,20,-1.8721461556892236,0.0161445945340112
36,8,0.01,0.125,1,-1.1792775311404642,0.030259204180491307
37,8,0.1,0.125,1,-1.2126889307216653,0.03101650133623067
38,8,1.0,0.125,1,-1.1801235940841894,0.030259204180491307
39,8,10.0,0.125,1,-1.1793575719614764,0.030259204180491307
40,8,0.01,1.25,10,-1.5295466930575943,0.020353134865189304
41,8,0.1,1.25,10,-1.5302965496686456,0.020353134865189304
42,8,1.0,1.25,10,-1.525871537408954,0.020236659331937253
43,8,10.0,1.25,10,-1.5302660440480884,0.020353134865189304
44,8,0.01,2.5,20,-1.6049565427157826,0.022416193855100595
45,8,0.1,2.5,20,-1.6073057116556,0.022416193855100592
46,8,1.0,2.5,20,-1.5740181814517065,0.023379400286865915
47,8,10.0,2.5,20,-1.6067109423703334,0.022416193855100595
48,9,0.01,0.1111111111111111,1,-1.3571355727706833,0.03345683285165472
49,9,0.1,0.1111111111111111,1,-1.338017739908014,0.03279971552255118
50,9,1.0,0.1111111111111111,1,-1.327801199395288,0.03211942002557728
51,9,10.0,0.1111111111111111,1,-1.385303706288818,0.03003555397635745
52,9,0.01,1.1111111111111112,10,-1.6060062919964804,0.0429530818602021
