,Number_topics,Alpha,Beta,Num,UMASS,NPMI
0,5,0.01,0.2,1,-1.2227182824746863,0.001968434109031299
1,5,0.1,0.2,1,-1.3398368379745473,0.005071901314682286
2,5,1.0,0.2,1,-1.3622489734992145,0.013991450269051553
3,5,10.0,0.2,1,-1.3213507312496093,0.009380874489025165
4,5,0.01,2.0,10,-6.229285678219443,-0.11309918113882214
5,5,0.1,2.0,10,-5.2830614899229955,-0.100549290776807
6,5,1.0,2.0,10,-1.3345427070124933,0.021703135439113806
7,5,10.0,2.0,10,-1.0979881523281156,-0.0012988588249730308
8,5,0.01,4.0,20,-10.140567301124502,-0.1623760313535041
9,5,0.1,4.0,20,-9.758467055438466,-0.1663658070701764
10,5,1.0,4.0,20,-7.3299178944185925,-0.12296161427263744
11,5,10.0,4.0,20,-0.9738591186985233,-0.013753852344651013
12,6,0.01,0.16666666666666666,1,-1.2992026293945875,0.012433100089463855
13,6,0.1,0.16666666666666666,1,-1.3019099939129097,0.012636966272646497
14,6,1.0,0.16666666666666666,1,-1.3802339545485989,0.010323471342323882
15,6,10.0,0.16666666666666666,1,-1.359760446566744,0.008187382447523433
16,6,0.01,1.6666666666666667,10,-4.91746580133827,-0.07783585683620296
17,6,0.1,1.6666666666666667,10,-5.024850250981381,-0.07685609868309731
18,6,1.0,1.6666666666666667,10,-3.6297251089091476,-0.05311282791811444
19,6,10.0,1.6666666666666667,10,-1.0649575368305624,-0.006004965307393843
20,6,0.01,3.3333333333333335,20,-4.710123512009182,-0.089226160161612
21,6,0.1,3.3333333333333335,20,-6.144108938499003,-0.12578769707545243
22,6,1.0,3.3333333333333335,20,-3.5218835220763007,-0.05274236290791457
23,6,10.0,3.3333333333333335,20,-0.9760278282774063,-0.018225259789246037
24,7,0.01,0.14285714285714285,1,-1.3247961912144468,0.01888365182155771
25,7,0.1,0.14285714285714285,1,-1.3623898914459358,0.01618552985601917
26,7,1.0,0.14285714285714285,1,-1.4314260092546398,0.01859617999236323
27,7,10.0,0.14285714285714285,1,-1.3431277923601104,0.013123410090219298
28,7,0.01,1.4285714285714286,10,-3.1948848462122297,-0.030040025799075713
29,7,0.1,1.4285714285714286,10,-4.9660190996878475,-0.07999452545078364
30,7,1.0,1.4285714285714286,10,-2.801372934965356,-0.02176280578404789
31,7,10.0,1.4285714285714286,10,-0.9912336059072183,-0.01207242888114995
32,7,0.01,2.857142857142857,20,-9.123623522659429,-0.18287616013909277
33,7,0.1,2.857142857142857,20,-9.314449511449613,-0.18662197936141325
34,7,1.0,2.857142857142857,20,-6.3154729225620345,-0.10229591688475685
35,7,10.0,2.857142857142857,20,-0.9559121921082225,-0.020467693583224585
36,8,0.01,0.125,1,-1.9531723015626532,0.007055087130634813
37,8,0.1,0.125,1,-1.5514172328305955,0.0141788556107585
38,8,1.0,0.125,1,-1.4597413550855665,0.01850596899478777
39,8,10.0,0.125,1,-1.2871618598188133,0.012645322831863454
40,8,0.01,1.25,10,-2.5207818276272285,-0.016139126392832843
41,8,0.1,1.25,10,-2.286818022573719,-0.005113013323743238
42,8,1.0,1.25,10,-2.4883440060588256,-0.011026909437116428
43,8,10.0,1.25,10,-0.9630049034051805,-0.014808921539415418
44,8,0.01,2.5,20,-6.145980320849377,-0.13169094134018564
45,8,0.1,2.5,20,-6.74237491249972,-0.13716318652341358
46,8,1.0,2.5,20,-6.564618331913926,-0.1379435808706524
47,8,10.0,2.5,20,-0.9576110888920213,-0.02075647303117517
48,9,0.01,0.1111111111111111,1,-1.5262236416365276,0.015341979473505971
49,9,0.1,0.1111111111111111,1,-1.563719512129812,0.017071316367711472
50,9,1.0,0.1111111111111111,1,-1.5286832422774816,0.018639447980859813
51,9,10.0,0.1111111111111111,1,-1.3493112914541563,0.0036283499812132256
52,9,0.01,1.1111111111111112,10,-2.5663148762016412,-0.02509378646025557
53,9,0.1,1.1111111111111112,10,-3.735233982910451,-0.031501343887554795
54,9,1.0,1.1111111111111112,10,-2.6256130078922872,-0.0045642039611247485
55,9,10.0,1.1111111111111112,10,-0.9798900114267549,-0.012822403511288162
56,9,0.01,2.2222222222222223,20,-6.519444997600834,-0.10954302061097712
57,9,0.1,2.2222222222222223,20,-5.179168448591808,-0.10595244267059244
58,9,1.0,2.2222222222222223,20,-6.011506984627207,-0.10634835917196145
59,9,10.0,2.2222222222222223,20,-0.9757790916123105,-0.01677230972266953
60,10,0.01,0.1,1,-1.7304055912445633,0.008066143571165005
61,10,0.1,0.1,1,-1.6916500713635947,0.0090030494566766
62,10,1.0,0.1,1,-1.5435786139270555,0.018367317624854985
63,10,10.0,0.1,1,-1.3722533343268588,-0.0006137901689017067
64,10,0.01,1.0,10,-4.6597916073186045,-0.08582943820429151
65,10,0.1,1.0,10,-5.716783671424489,-0.08930459288977126
66,10,1.0,1.0,10,-3.0252744970481027,-0.013472464665012882
67,10,10.0,1.0,10,-0.9976646814904655,-0.015228638742347284
68,10,0.01,2.0,20,-7.632688954871776,-0.1787975169961595
69,10,0.1,2.0,20,-6.144294613217392,-0.17144745259809388
70,10,1.0,2.0,20,-5.957385297317005,-0.12023075710010626
71,10,10.0,2.0,20,-0.9470034667935201,-0.021077056495569416
72,11,0.01,0.09090909090909091,1,-1.6647880113971196,0.008164100698645598
73,11,0.1,0.09090909090909091,1,-1.6290109998442235,0.011440834823902445
74,11,1.0,0.09090909090909091,1,-1.8964637586322473,0.002242045832764281
75,11,10.0,0.09090909090909091,1,-1.235500066033217,-0.0015640724765087306
76,11,0.01,0.9090909090909091,10,-4.388262424672186,-0.09830574181733648
77,11,0.1,0.9090909090909091,10,-4.577862004229707,-0.059337733996727884
78,11,1.0,0.9090909090909091,10,-2.878523625794294,-0.017374241880214452
79,11,10.0,0.9090909090909091,10,-0.9929758984287651,-0.016743319949238843
80,11,0.01,1.8181818181818181,20,-3.8533460249753206,-0.10264317623995933
81,11,0.1,1.8181818181818181,20,-3.759124318678512,-0.07067245080599839
82,11,1.0,1.8181818181818181,20,-6.721579758567171,-0.14396556546262873
83,11,10.0,1.8181818181818181,20,-0.9780305630843104,-0.017440831346901817
84,12,0.01,0.08333333333333333,1,-2.3841887913632145,-0.01783760122907628
85,12,0.1,0.08333333333333333,1,-2.1226556107551677,-0.014368465416351938
86,12,1.0,0.08333333333333333,1,-1.6358985177185958,0.009807752756577451
87,12,10.0,0.08333333333333333,1,-1.2816041427308418,-0.004677727814170411
88,12,0.01,0.8333333333333334,10,-3.4435812031915414,-0.049488029678749025
89,12,0.1,0.8333333333333334,10,-5.398750110007119,-0.08741602927894822
90,12,1.0,0.8333333333333334,10,-2.249449735535856,-0.013777944370809108
91,12,10.0,0.8333333333333334,10,-0.9854015353611101,-0.01785697399231859
92,12,0.01,1.6666666666666667,20,-4.1337454576275325,-0.11331599099705443
93,12,0.1,1.6666666666666667,20,-3.586096052585493,-0.11143197787978366
94,12,1.0,1.6666666666666667,20,-6.629530906215251,-0.12534068143939167
95,12,10.0,1.6666666666666667,20,-0.977760549900116,-0.017445026953215575
96,13,0.01,0.07692307692307693,1,-2.28636893850013,-0.005787386952566702
97,13,0.1,0.07692307692307693,1,-2.5008385526727133,-0.01166690393660032
98,13,1.0,0.07692307692307693,1,-1.7323655589473246,0.0073482271678037
99,13,10.0,0.07692307692307693,1,-1.2510210606486956,-0.011083876476144283
100,13,0.01,0.7692307692307693,10,-4.084083455256498,-0.05218237784759434
101,13,0.1,0.7692307692307693,10,-4.080665445533717,-0.052127697630149857
102,13,1.0,0.7692307692307693,10,-2.5877857735990024,-0.018782530272220658
103,13,10.0,0.7692307692307693,10,-0.9797205290485288,-0.016300303127188515
104,13,0.01,1.5384615384615385,20,-5.951055202100512,-0.1255045003555353
105,13,0.1,1.5384615384615385,20,-6.495378720270271,-0.14185720975266874
106,13,1.0,1.5384615384615385,20,-7.665378464849045,-0.15335279821934072
107,13,10.0,1.5384615384615385,20,-0.9820629507969275,-0.017039390282568453
108,14,0.01,0.07142857142857142,1,-2.8273733984148257,-0.02816844340576863
109,14,0.1,0.07142857142857142,1,-3.0622697580205958,-0.03335823210384971
110,14,1.0,0.07142857142857142,1,-1.8000468264914014,0.007370937707189556
111,14,10.0,0.07142857142857142,1,-1.2576489638901995,-0.01514371334982821
112,14,0.01,0.7142857142857143,10,-6.309834054719311,-0.1193998490316409
113,14,0.1,0.7142857142857143,10,-7.426509788948683,-0.13191484002417447
114,14,1.0,0.7142857142857143,10,-4.782355936480011,-0.07800610596546884
115,14,10.0,0.7142857142857143,10,-0.9790638677590912,-0.016504503190673436
116,14,0.01,1.4285714285714286,20,-7.713111621143438,-0.1742248251862237
117,14,0.1,1.4285714285714286,20,-6.3158588988500295,-0.15321602473983037
118,14,1.0,1.4285714285714286,20,-8.380309102714739,-0.1610342009521993
119,14,10.0,1.4285714285714286,20,-0.9662436965646917,-0.016844062152903006
