,Number_topics,Alpha,Beta,Num,UMASS,NPMI
0,5,0.01,0.2,1,-3.3426748352001434,-0.03826126114213237
1,5,0.1,0.2,1,-3.2867675134356857,-0.04043709586499323
2,5,1.0,0.2,1,-1.3321572688280923,0.0171035698657133
3,5,10.0,0.2,1,-1.1226147978246268,0.02682812335765462
4,5,0.01,2.0,10,-2.1153785953088233,0.028661710404979703
5,5,0.1,2.0,10,-3.649484836454049,-0.026740210217209858
6,5,1.0,2.0,10,-2.0002151519065996,0.0008283749995354258
7,5,10.0,2.0,10,-1.0586498662140271,0.022910321588632338
8,5,0.01,4.0,20,-6.450744285981306,-0.06525769920727362
9,5,0.1,4.0,20,-6.217887807189011,-0.08110596435491389
10,5,1.0,4.0,20,-2.7425707280447793,0.03154735499150452
11,5,10.0,4.0,20,-1.0923647645987764,0.026235185642359927
12,6,0.01,0.16666666666666666,1,-1.5420443874466976,0.014905855161626236
13,6,0.1,0.16666666666666666,1,-1.5156967770456717,0.01750904032059435
14,6,1.0,0.16666666666666666,1,-1.4597943125214703,0.02194762016230062
15,6,10.0,0.16666666666666666,1,-1.14052060605591,0.02670420276417566
16,6,0.01,1.6666666666666667,10,-4.115452621732511,-0.01124731684629753
17,6,0.1,1.6666666666666667,10,-3.735795211158788,0.008414441339844337
18,6,1.0,1.6666666666666667,10,-3.340897388580666,-0.014610100175710105
19,6,10.0,1.6666666666666667,10,-1.0480974038708983,0.02563694088607274
20,6,0.01,3.3333333333333335,20,-6.959267550884415,-0.09285356255140902
21,6,0.1,3.3333333333333335,20,-6.928498485893915,-0.085842325536307
22,6,1.0,3.3333333333333335,20,-4.905480335253588,-0.03332055158421287
23,6,10.0,3.3333333333333335,20,-1.2923611457073487,0.020719250046607914
24,7,0.01,0.14285714285714285,1,-1.428771441305369,0.020324068391712257
25,7,0.1,0.14285714285714285,1,-1.4326520396977955,0.01949026029805238
26,7,1.0,0.14285714285714285,1,-1.2881571331858086,0.03003168464677929
27,7,10.0,0.14285714285714285,1,-1.1702595987024151,0.03237296616928808
28,7,0.01,1.4285714285714286,10,-5.237435563085741,-0.05684673913710524
29,7,0.1,1.4285714285714286,10,-4.7394158927811985,-0.0562915697085165
30,7,1.0,1.4285714285714286,10,-1.8969988351929195,0.0292161077701781
31,7,10.0,1.4285714285714286,10,-1.1770161820741731,0.026235427292278384
32,7,0.01,2.857142857142857,20,-4.61910912585702,-0.012945404971163633
33,7,0.1,2.857142857142857,20,-5.723889652881681,-0.04406327266456287
34,7,1.0,2.857142857142857,20,-4.2951221316328825,-0.014450417781363299
35,7,10.0,2.857142857142857,20,-1.3448113525871608,0.029706457123523277
36,8,0.01,0.125,1,-1.5631800535447598,0.025568621493578508
37,8,0.1,0.125,1,-1.5907697143304478,0.019516705072482887
38,8,1.0,0.125,1,-1.2523576181326712,0.03133191603693477
39,8,10.0,0.125,1,-1.1944938932007731,0.03581740710494549
40,8,0.01,1.25,10,-2.0278154311566157,0.048232590157745316
41,8,0.1,1.25,10,-2.7759064456434155,0.03272984743947754
42,8,1.0,1.25,10,-1.6614356160349568,0.038504137147801
43,8,10.0,1.25,10,-1.210216545745466,0.03381189947825303
44,8,0.01,2.5,20,-6.088939754859506,-0.05561967531506198
45,8,0.1,2.5,20,-5.719233532414918,-0.039749354541992424
46,8,1.0,2.5,20,-5.674902944660287,-0.03375022286851695
47,8,10.0,2.5,20,-1.2879268746652275,0.029205463566838653
48,9,0.01,0.1111111111111111,1,-3.011960124825022,-0.008847836445949605
49,9,0.1,0.1111111111111111,1,-1.95246983379416,0.007228753200534694
50,9,1.0,0.1111111111111111,1,-1.388298952627488,0.02853913664382606
51,9,10.0,0.1111111111111111,1,-1.2889189906910796,0.03926298375778273
52,9,0.01,1.1111111111111112,10,-2.7369025402462066,0.029596146248484317
53,9,0.1,1.1111111111111112,10,-3.369506724121978,0.0014879939560616005
54,9,1.0,1.1111111111111112,10,-2.8250233496170427,0.013606695937042099
55,9,10.0,1.1111111111111112,10,-1.2901486602586987,0.03395296637679796
56,9,0.01,2.2222222222222223,20,-5.167231731289663,-0.0009743797986859377
57,9,0.1,2.2222222222222223,20,-4.695689249333065,0.013359719595729354
58,9,1.0,2.2222222222222223,20,-4.4422500960094595,-0.0010021988078380655
59,9,10.0,2.2222222222222223,20,-1.6152835175052487,0.016587886668528555
60,10,0.01,0.1,1,-1.6610518001950823,0.02389743807514222
61,10,0.1,0.1,1,-1.5290785232726865,0.02935344286958137
62,10,1.0,0.1,1,-1.3159566537108778,0.03446495026000736
63,10,10.0,0.1,1,-1.305817482186935,0.04008958673016916
64,10,0.01,1.0,10,-2.2715067131384976,0.04856542275197874
65,10,0.1,1.0,10,-2.357707677849898,0.04468126185849049
66,10,1.0,1.0,10,-4.135607723435721,-0.018125638938841514
67,10,10.0,1.0,10,-1.3828818483927192,0.03927535338178796
68,10,0.01,2.0,20,-3.614466195959357,0.02422303006767112
69,10,0.1,2.0,20,-4.483185352116659,-0.002582081004112921
70,10,1.0,2.0,20,-6.137758518558039,-0.04294216127019109
71,10,10.0,2.0,20,-1.3748632705463855,0.029212507023560774
72,11,0.01,0.09090909090909091,1,-1.5006856740664467,0.029527483376603127
73,11,0.1,0.09090909090909091,1,-1.4551859973057297,0.031057218129990363
74,11,1.0,0.09090909090909091,1,-1.3725277319195472,0.038490839801605725
75,11,10.0,0.09090909090909091,1,-1.3485995164867501,0.04209994931870025
76,11,0.01,0.9090909090909091,10,-4.62571905497271,-0.01676070606365298
77,11,0.1,0.9090909090909091,10,-3.6581448773394594,0.0013107833674409542
78,11,1.0,0.9090909090909091,10,-2.280604959319353,0.02260606621279557
79,11,10.0,0.9090909090909091,10,-1.2633274801282055,0.03582969339889479
80,11,0.01,1.8181818181818181,20,-5.785154779031378,-0.0067122491113729525
81,11,0.1,1.8181818181818181,20,-6.651021938183965,-0.035297656011456374
82,11,1.0,1.8181818181818181,20,-4.8129113162599575,-0.009989477588434312
83,11,10.0,1.8181818181818181,20,-1.3486529399127205,0.03290495601437076
84,12,0.01,0.08333333333333333,1,-1.3882633016230104,0.03892964360923149
85,12,0.1,0.08333333333333333,1,-1.3838837870112946,0.039135434268349124
86,12,1.0,0.08333333333333333,1,-1.301250676966824,0.042687348569399146
87,12,10.0,0.08333333333333333,1,-1.336131054496548,0.03753517258088412
88,12,0.01,0.8333333333333334,10,-4.053786649500451,0.010958306839580411
89,12,0.1,0.8333333333333334,10,-3.213760162604998,0.023973665008618934
