,Number_topics,Alpha,Beta,Num,UMASS,NPMI
0,6,0.1,0.16666666666666666,1,-1.632628363792918,0.011397046492048438
1,6,1.0,0.16666666666666666,1,-1.4597943125214703,0.02194762016230062
2,6,5.0,0.16666666666666666,1,-1.2267386550108343,0.034977860008036855
3,6,10.0,0.16666666666666666,1,-1.195886292910452,0.02486026882777506
4,6,0.1,0.8333333333333334,5,-3.5525546304189994,-0.017559948498284853
5,6,1.0,0.8333333333333334,5,-3.221752279989276,-0.021621682632386004
6,6,5.0,0.8333333333333334,5,-1.1945873506403721,0.034530204735450515
7,6,10.0,0.8333333333333334,5,-1.1136786760769384,0.025676194387873094
8,6,0.1,1.6666666666666667,10,-3.8031276429415803,0.0033563573982709274
9,6,1.0,1.6666666666666667,10,-3.8037543881155123,-0.027539775523074014
10,6,5.0,1.6666666666666667,10,-1.1417933659907338,0.03218589376350082
11,6,10.0,1.6666666666666667,10,-1.0257412521708231,0.02586722732856216
12,7,0.1,0.14285714285714285,1,-1.3833924671368816,0.02201148597982357
13,7,1.0,0.14285714285714285,1,-1.300075755860472,0.03031843400004733
14,7,5.0,0.14285714285714285,1,-1.160675938405268,0.032864777829143946
15,7,10.0,0.14285714285714285,1,-1.167280857866931,0.03195917947008786
16,7,0.1,0.7142857142857143,5,-3.113585694957645,-0.015600945709451168
17,7,1.0,0.7142857142857143,5,-1.7746635440438088,0.023538546791235435
18,7,5.0,0.7142857142857143,5,-1.3050311949404523,0.035996247485852735
19,7,10.0,0.7142857142857143,5,-1.220969999831831,0.022599350390818927
20,7,0.1,1.4285714285714286,10,-4.200371444374225,-0.03585573063995982
21,7,1.0,1.4285714285714286,10,-1.888238186951852,0.0269098683471747
22,7,5.0,1.4285714285714286,10,-1.1944878695938865,0.0329988359651635
23,7,10.0,1.4285714285714286,10,-1.1896035895898933,0.03291077493477034
24,8,0.1,0.125,1,-1.5451001247574654,0.01972068898710265
25,8,1.0,0.125,1,-1.248019611970029,0.031621232596280045
26,8,5.0,0.125,1,-1.1543779285225968,0.033365004825115924
27,8,10.0,0.125,1,-1.254693585498194,0.03434436764076349
28,8,0.1,0.625,5,-2.082901258924421,0.03145993186255047
29,8,1.0,0.625,5,-1.9895393109888018,0.012780630192384335
30,8,5.0,0.625,5,-1.2733008003974104,0.034048359440235994
31,8,10.0,0.625,5,-1.154484670468368,0.02965595874625302
32,8,0.1,1.25,10,-2.7759064456434155,0.03272984743947754
33,8,1.0,1.25,10,-1.6747173456779654,0.038950898420080336
34,8,5.0,1.25,10,-1.2364422120546497,0.03871875185390748
35,8,10.0,1.25,10,-1.1954998884673227,0.03271024046428971
36,9,0.1,0.1111111111111111,1,-1.805352516454671,0.0031165800414630867
37,9,1.0,0.1111111111111111,1,-1.3193738688401464,0.031632419823580844
38,9,5.0,0.1111111111111111,1,-1.231431904201129,0.034931374261854026
39,9,10.0,0.1111111111111111,1,-1.3295310364786452,0.03849248018584581
40,9,0.1,0.5555555555555556,5,-2.681528004366775,-0.004383540661385851
41,9,1.0,0.5555555555555556,5,-2.6756506215991402,0.007556847356225033
42,9,5.0,0.5555555555555556,5,-1.1721142869776735,0.03399206840204996
43,9,10.0,0.5555555555555556,5,-1.2510660504300402,0.038401602173850705
44,9,0.1,1.1111111111111112,10,-3.588426019911793,-0.008776254302730277
45,9,1.0,1.1111111111111112,10,-2.8253532960180565,0.013606695937042099
46,9,5.0,1.1111111111111112,10,-1.3445721918237739,0.03692385569380957
47,9,10.0,1.1111111111111112,10,-1.2194602407196768,0.038713001439353585
48,10,0.1,0.1,1,-1.437309387995675,0.03226869407086487
49,10,1.0,0.1,1,-1.3342897321993665,0.034033778460118784
50,10,5.0,0.1,1,-1.228640554509711,0.03705317251385643
51,10,10.0,0.1,1,-1.3075978867417195,0.04063779317746555
52,10,0.1,0.5,5,-2.6329881663402404,0.013501896336286517
53,10,1.0,0.5,5,-2.469258202799235,0.0208184817229014
54,10,5.0,0.5,5,-1.3065050714278992,0.03285366654229131
55,10,10.0,0.5,5,-1.313394934515531,0.03388168926422021
56,10,0.1,1.0,10,-2.396910992207258,0.045203596863919185
57,10,1.0,1.0,10,-4.287664339675387,-0.013268660236608314
58,10,5.0,1.0,10,-1.3688482958079704,0.03613123490644305
59,10,10.0,1.0,10,-1.3260993274455029,0.03697274026178665
